,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Magistralnyy,97,RU,1578469479,92,56.17,107.45,11.16,2.46
85,Amarante do Maranhao,100,BR,1578469480,97,-5.57,-46.74,70.74,1.43
86,Tiznit,75,MA,1578469480,33,29.7,-9.73,51.51,2.17
87,Mayo,90,CA,1578469480,63,63.59,-135.9,-11.2,5.82
88,Manoel Urbano,18,BR,1578469480,79,-8.84,-69.26,69.93,2.1
89,Saskylakh,82,RU,1578469480,96,71.97,114.09,-3.33,7.09
90,Tasiilaq,0,GL,1578469481,46,65.61,-37.64,-2.18,25.32
91,Koulikoro,0,ML,1578469481,36,12.86,-7.56,60.8,4.7
92,Deori,2,IN,1578469481,53,23.12,78.69,79.21,11.5
93,Upernavik,100,GL,1578469481,72,72.79,-56.15,-13.23,3.31
94,Hamilton,75,CA,1578469351,86,43.26,-79.87,34.0,12.75
95,Dunedin,100,NZ,1578469329,72,-45.87,170.5,54.23,13.13
96,Puerto Ayora,4,EC,1578469482,80,-0.74,-90.35,75.99,5.99
97,Mkushi,100,ZM,1578469482,87,-13.61,29.4,70.52,8.08
98,Xiaolingwei,75,CN,1578469482,65,32.03,118.85,46.0,4.47
99,Husavik,0,CA,1578469482,84,50.56,-96.99,-11.99,3.2
100,Fairbanks,20,US,1578469225,65,64.84,-147.72,-26.0,0.81
101,Houma,92,CN,1578469328,83,35.63,111.36,34.97,4.92
102,Liwale,100,TZ,1578469483,63,-9.8,37.92,84.49,7.09
103,Grindavik,75,IS,1578469483,50,63.84,-22.43,30.2,55.25
104,Shache,81,CN,1578469484,50,38.42,77.24,33.67,3.18
105,Bluff,99,AU,1578469484,26,-23.58,149.07,85.55,4.97
106,Hermanus,0,ZA,1578469484,85,-34.42,19.24,73.99,5.99
107,Piranshahr,33,IR,1578469484,61,36.7,45.14,30.22,8.55
108,Yellowknife,5,CA,1578469352,65,62.45,-114.38,-34.01,3.65
109,Mataya,93,KE,1578469485,45,0.36,34.17,83.26,5.12
110,Harrisburg,90,US,1578469485,85,40.27,-76.89,28.4,5.75
